"tick","# of Humans","# of Zombies"
0.0,100,5
1.0,100,5
2.0,100,5
3.0,100,5
4.0,100,5
5.0,99,6
6.0,99,6
7.0,99,6
8.0,99,6
9.0,99,6
10.0,99,6
11.0,99,6
12.0,99,6
13.0,99,6
14.0,99,6
15.0,99,6
16.0,99,6
17.0,99,6
18.0,99,6
19.0,99,6
20.0,99,6
21.0,99,6
22.0,99,6
23.0,99,6
24.0,99,6
25.0,99,6
26.0,99,6
27.0,99,6
28.0,99,6
29.0,99,6
30.0,99,6
31.0,99,6
32.0,99,6
33.0,99,6
34.0,99,6
35.0,99,6
36.0,99,6
37.0,99,6
38.0,99,6
39.0,99,6
40.0,99,6
41.0,99,6
42.0,99,6
43.0,99,6
44.0,99,6
45.0,99,6
46.0,99,6
47.0,99,6
48.0,99,6
49.0,99,6
50.0,99,6
51.0,99,6
52.0,99,6
53.0,99,6
54.0,99,6
55.0,99,6
56.0,99,6
57.0,99,6
58.0,99,6
59.0,99,6
60.0,99,6
61.0,99,6
62.0,99,6
63.0,99,6
64.0,99,6
65.0,99,6
66.0,99,6
67.0,99,6
68.0,99,6
69.0,99,6
70.0,99,6
71.0,99,6
72.0,99,6
73.0,99,6
74.0,99,6
75.0,99,6
76.0,99,6
77.0,99,6
78.0,99,6
79.0,99,6
80.0,99,6
81.0,99,6
82.0,99,6
83.0,99,6
84.0,99,6
85.0,99,6
86.0,99,6
87.0,99,6
88.0,99,6
89.0,99,6
90.0,99,6
91.0,99,6
92.0,99,6
93.0,99,6
94.0,99,6
95.0,99,6
96.0,99,6
97.0,99,6
98.0,99,6
99.0,99,6
100.0,99,6
101.0,99,6
102.0,99,6
103.0,99,6
104.0,99,6
105.0,98,7
106.0,98,7
107.0,97,8
108.0,97,8
109.0,97,8
110.0,97,8
111.0,97,8
112.0,97,8
113.0,97,8
114.0,97,8
115.0,97,8
116.0,97,8
117.0,97,8
118.0,97,8
119.0,97,8
120.0,97,8
121.0,96,9
122.0,96,9
123.0,96,9
124.0,96,9
125.0,96,9
126.0,96,9
127.0,96,9
128.0,96,9
129.0,96,9
130.0,96,9
131.0,96,9
132.0,96,9
133.0,96,9
134.0,96,9
135.0,96,9
136.0,96,9
137.0,96,9
138.0,96,9
139.0,96,9
140.0,96,9
141.0,96,9
142.0,96,9
143.0,96,9
144.0,96,9
145.0,96,9
146.0,96,9
147.0,96,9
148.0,96,9
149.0,96,9
150.0,96,9
151.0,96,9
152.0,96,9
153.0,96,9
154.0,96,9
155.0,96,9
156.0,96,9
157.0,96,9
158.0,96,9
159.0,96,9
160.0,96,9
161.0,96,9
162.0,96,9
163.0,96,9
164.0,96,9
165.0,96,9
166.0,96,9
167.0,96,9
168.0,96,9
169.0,96,9
170.0,96,9
171.0,96,9
172.0,96,9
173.0,96,9
174.0,96,9
175.0,96,9
176.0,96,9
177.0,96,9
178.0,96,9
179.0,96,9
180.0,96,9
181.0,96,9
182.0,96,9
183.0,96,9
184.0,96,9
185.0,96,9
186.0,96,9
187.0,96,9
188.0,96,9
189.0,95,10
190.0,95,10
191.0,95,10
192.0,95,10
193.0,94,11
194.0,94,11
195.0,94,11
196.0,94,11
197.0,94,11
198.0,94,11
199.0,94,11
200.0,94,11
201.0,94,11
202.0,94,11
203.0,94,11
204.0,94,11
205.0,94,11
206.0,94,11
207.0,93,12
208.0,93,12
209.0,93,12
210.0,93,12
211.0,93,12
212.0,93,12
213.0,93,12
214.0,93,12
215.0,93,12
216.0,93,12
217.0,93,12
218.0,93,12
219.0,93,12
220.0,93,12
221.0,93,12
222.0,93,12
223.0,91,14
224.0,91,14
225.0,91,14
226.0,91,14
227.0,91,14
228.0,91,14
229.0,91,14
230.0,91,14
231.0,90,15
232.0,90,15
233.0,90,15
234.0,90,15
235.0,89,16
236.0,89,16
237.0,89,16
238.0,89,16
239.0,89,16
240.0,89,16
241.0,88,17
242.0,88,17
243.0,88,17
244.0,88,17
245.0,87,18
246.0,87,18
247.0,86,19
248.0,86,19
249.0,86,19
250.0,86,19
251.0,86,19
252.0,86,19
253.0,85,20
254.0,85,20
255.0,85,20
256.0,85,20
257.0,85,20
258.0,85,20
259.0,84,21
260.0,84,21
261.0,84,21
262.0,84,21
263.0,84,21
264.0,84,21
265.0,84,21
266.0,84,21
267.0,82,23
268.0,82,23
269.0,82,23
270.0,82,23
271.0,82,23
272.0,82,23
273.0,82,23
274.0,82,23
275.0,82,23
276.0,82,23
277.0,82,23
278.0,82,23
279.0,82,23
280.0,82,23
281.0,81,24
282.0,81,24
